Sample,mE,mN,Lithology,Alteration,Temp,d18O,SiO2,Al2O3,Fe2O3t,MgO,CaO,Na2O,K2O
207398,727742,7645187,granophyre,bg,200,5.49,78.98,11.56,1.22,0.96,0.24,4.67,0.71
207476,730372,7652212,granophyre,bg,200,5.6,73.84,10.7,5.01,1.12,1.08,4.19,0.56
207484,730256,7651503,granophyre,bg,200,6.1,75.38,11.33,4.08,0.54,1.06,5.84,0.06
207247,729095,7656130,granophyre,bg,200,6.7,74.42,10.78,3.62,0.96,1.62,5.53,0.06
207485,729746,7651108,granophyre,bg,200,6.8,76.3,11.24,1.8,0.52,0.71,3.22,3.96
203350,728059,7657723,granophyre,bg,200,7.1,77.54,10.74,1.5,0.12,0.73,3.53,4.4
203354,729683,7653035,granophyre,bg,200,7.2,74.23,10.95,3.53,1.15,1.1,3.07,2.78
207451,728137,7657743,granophyre,bg,200,7.5,76.28,11.27,2.79,0,1.4,5.42,1.29
203340,727353,7658332,granophyre,bg,200,8,77,11,2,0,2,6.04,0.1
203351,729263,7654828,granophyre,bg,200,7.8,74.79,10.9,3.34,0.41,1.51,4.46,2.25
207430,724282,7641315,granophyre,bg,200,8.3,75.55,11.33,1.88,1.22,1.53,5.87,0.13
207452,728362,7657142,granophyre,bg,200,8.5,77.07,11.29,1.81,0,0.66,3.6,4.46
207410,726274,7643242,rhyolite,bg,200,4.4,78.89,11.55,0.28,1.32,0.69,5.46,0.03
207397,727745,7645183,rhyolite,bg,200,5.7,78.86,11.52,1.59,1.75,0.19,3.74,0.57
207368,730167,7646736,rhyolite,bg,200,6.3,77.73,11.16,0.8,0.95,1.69,4.86,0.05
207365,730816,7647261,rhyolite,bg,200,6.4,76.6,11.82,2.6,1.52,0.74,4.02,0.25
207444,723785,7639664,rhyolite,bg,200,7,77,11,2,1,0,1.56,6.07
207286,730187,7653222,rhyolite,bg,200,7.3,68.32,11.09,5.22,3.33,1.93,4.85,0.16
207417,727213,7642400,rhyolite,bg,200,8.5,76.29,10.96,2.37,1.22,0.58,1.83,4.62
207426,726349,7641196,rhyolite,bg,200,10.3,78.36,10.25,1.31,0.46,0.8,0.94,6.3
207502,727730,7658076,pyroxenite,bg,200,4,51.12,3.91,11.12,16.14,14.02,0.68,0.17
207499,727847,7658203,diorite-dolerite,bg,200,1.1,52.62,5.83,9.11,11.57,15.93,2.26,0.07
207298,731513,7652741,andesite-basalt,trans-cq,300,8.5,51.52,11.98,14.61,5.89,3.61,0.03,1.16
